Parola_1	Parola_2	Similarita_1	Similarita_2	Similarita_media
crittogramma	simbolo	3	2	2.5
campus	università	3	3	3.0
libertà	libertà	4	4	4.0
tifone	ciclone	3	4	3.5
manuale	guida turistica	2	3	2.5
Ebola	virus Ebola	4	4	4.0
principessa	biscotto	0	0	0.0
treno	tram	3	3	3.0
ecosistema	economia	1	1	1.0
regina regnante	regina degli scacchi	3	2	2.5
oro	zinco	1	3	2.0
cursore	patatine fritte	0	0	0.0
Rio delle Amazzoni	foresta	3	1	2.0
tennis	statistica	0	0	0.0
Bolzano	teorema	0	1	0.5
altitudine	conversione	1	1	1.0
barca	albero	0	2	1.0
trono	spada	2	1	1.5
cotone	maglione	2	2	2.0
ciliegia	fragola	3	3	3.0
Islam	Corano	2	2	2.0
Neanderthal	sport	0	0	0.0
nepotismo	re	1	2	1.5
personaggio	persona	3	3	3.0
cisterna	vagone	3	1	2.0
Mercurio	Giove	3	3	3.0
bronchite	acetaminofene	2	1	1.5
sangue	corpo	2	2	2.0
islamofobia	ISIS	1	2	1.5
uncinetto	uniforme	1	0	0.5
Hadoop	touchscreen	1	1	1.0
combustibile fossile	fossile	2	1	1.5
mutante	sociobiologia	1	1	1.0
sorella	fratello	3	3	3.0
matita	storia	2	1	1.5
eczema	dermatite	2	4	3.0
imperatore	governatore	3	3	3.0
corona	chiave	0	0	0.0
algebra	operazione	2	2	2.0
pistone	motore	3	2	2.5
borsa di studio	retta	1	2	1.5
libro	manoscritto	2	3	2.5
lantana	bocca di leone	3	3	3.0
buco nero	vuoto	2	1	1.5
Impero Persiano	Ciro	2	2	2.0
editoriale	notizia	3	3	3.0
decorazione	busta	2	0	1.0
squalo balena	aragosta	3	2	2.5
mais	granturco	3	4	3.5
disturbo bipolare	problema	2	2	2.0
