Parola_1	Parola_2	BS1	BS2	Terms_BS1	Terms_BS2
crittogramma	simbolo	bn:00024193n	bn:00075652n	crittogramma	simbolo,segno,Simboli,Simbologia
campus	università	bn:00015097n	bn:00079152n	campus,Campus universitario,Cittadella universitaria	università,accademia,ateneo,scuola
libertà	libertà	bn:00050954n	bn:00050954n	libertà,autodeterminazione,indipendenza,sovranità	libertà,autodeterminazione,indipendenza,sovranità
tifone	ciclone	bn:00045282n	bn:00045282n	uragano,Ciclone tropicale,ciclone,tifone,tornado	uragano,Ciclone tropicale,ciclone,tifone,tornado
manuale	guida turistica	bn:00424546n	bn:00042106n	Manuale,Enchiridio,Manuali,Manualistica	guida,guida turistica,turistica
Ebola	virus Ebola	bn:00029565n	bn:00029566n	Malattia da virus Ebola,Ebola,febbre emorragica Ebola,Zaire ebolavirus	Virus Ebola
principessa	biscotto	bn:00064417n	bn:21706364n	principessa,princessa	Biscotto
treno	tram	bn:00066028n	bn:00074613n	treno,convoglio,treno passeggeri	tram,tramvai,tranvai,Tranvia,rete tramviaria
ecosistema	economia	bn:00029687n	bn:00029678n	ecosistema,sistema ecologico,Ecosistemi,biogeocenosi,biosistema	economia,sistema economico
regina regnante	regina degli scacchi	bn:00034025n	bn:17765539n	regina,Regina regnante	La regina degli scacchi,Regina degli scacchi
oro	zinco	bn:00006911n	bn:00006861n	oro,Au	zinco,Zn
cursore	patatine fritte	bn:00024529n	bn:00018527n	cursore,puntatore,Puntatore del mouse,indicatore di misura	patate fritte,Patatine fritte,Chips (gruppo musicale),patatine
Rio delle Amazzoni	foresta	bn:00003245n	bn:00035868n	Rio delle Amazzoni,Amazzoni	foresta,bosco,bosco misto,Driver (golf),selva
tennis	statistica	bn:00050287n	bn:00074061n	tennis,pallacorda,tennis sull'erba,tennistica,tennistico	statistica,analisi statistica
Bolzano	teorema	bn:01183181n	bn:00076831n	Bolzano,Bozen	teorema
altitudine	conversione	bn:00003142n	bn:00022355n	altitudine,quota,altimetrico	conversione
barca	albero	bn:00011674n	bn:00053706n	barca,imbarcazione,battello,barche,battellieri	albero
trono	spada	bn:00077086n	bn:00011081n	trono,truono	spada,acciaro,durindana,durlindana,ferro
cotone	maglione	bn:00023072n	bn:00048570n	cotone	maglione,pullover,Maglia (abbigliamento),Golf
ciliegia	fragola	bn:00018176n	bn:14831399n	ciliegia,cerasa	fragola
Islam	Corano	bn:00047600n	bn:00002370n	islam,islamismo,Islam politico,maomettismo,mezza luna	Corano
Neanderthal	sport	bn:00044581n	bn:00006759n	Uomo di Neandertal,uomo di Neanderthal,Homo neanderthalensis,Homo sapiens neanderthalensis,Neanderthal	sport,atletica,Atletica leggera,atleta
nepotismo	re	bn:00057307n	bn:00024097n	nepotismo,baronismo,familismo,nipotismo	monarca,re,sovrano,regnante
personaggio	persona	bn:00017746n	bn:00044576n	Personaggio immaginario,personaggio,personaggio di fantasia,personaggio fittizio,figura	uomo,essere umano,Homo,umano,Genere umano,persona
cisterna	vagone	bn:00074452n	bn:00015785n	serbatoio,cisterna,Serbatoi,tanica serbatoio bombola	Vagone,automotrice,Vagone ferroviario,bisarca,Carro
Mercurio	Giove	bn:09063133n	bn:00048646n	Mercurio (astrologia)	Giove,♃
bronchite	acetaminofene	bn:00013313n	bn:00000834n	bronchite	Paracetamolo,paracetamol,Acetaminofene
sangue	corpo	bn:00011346n	bn:00011744n	sangue,Blood	corpo,organismo,oggetto
islamofobia	ISIS	bn:00047611n	bn:15487402n	islamofobia,islamofobo	Stato Islamico,IS,ISIL,ISIS,Stato Islamico dell'Iraq e del Levante
uncinetto	uniforme	bn:00023885n	bn:14044808n	uncinetto,aghetto,crochet,Lavoro all'uncinetto	Divisa,Uniforme
Hadoop	touchscreen	bn:03415734n	bn:00077733n	Apache Hadoop,Hadoop	Touchscreen,Schermo tattile,Touch Screen,Touch-screen,schermo a sfioramento
combustibile fossile	fossile	bn:00036027n	bn:00036026n	Combustibili fossili,combustibile fossile	fossile,Fossili,Fossilizzato
mutante	sociobiologia	bn:00056530n	bn:00072570n	mutante,mutazione	sociobiologia
sorella	fratello	bn:17384312n	bn:00011357n	sorella	fratello,fratello di sangue
matita	storia	bn:00061334n	bn:00056857n	matita,lapis	storia,Narrativa,Punto di vista (letteratura),Narrazione,racconto
eczema	dermatite	bn:00029715n	bn:00026454n	eczema,Eczemi,esantema	dermatite,dermatosi,Dermatiti
imperatore	governatore	bn:00014550n	bn:00041204n	cesare,Gaio Giulio Cesare,Caio Giulio Cesare,Giulio Cesare,imperatore	governatore,governante,Vice-governatore
corona	chiave	bn:00024069n	bn:00048985n	corona	chiave
algebra	operazione	bn:00002676n	bn:00053826n	algebra	operazione,operazione aritmetica,Operazione interna,Operazioni aritmetiche
pistone	motore	bn:00062630n	bn:00030850n	pistone,stantuffo	motore,Propulsore
borsa di studio	retta	bn:00069614n	bn:00078557n	borsa di studio,Borse di studio,Borsista	retta,tassa d'iscrizione,tassa scolastica,tassa universitaria
libro	manoscritto	bn:00012059n	bn:00044453n	libro	manoscritto,manoscritti
lantana	bocca di leone	bn:00049943n	bn:00004738n	lantana	Antirrhinum majus,Bocca di leone,bocca di Leone comune
buco nero	vuoto	bn:00010920n	bn:00030635n	buco nero	vuoto,vacuo
Impero Persiano	Ciro	bn:00061704n	bn:03352442n	Impero persiano,Persia,Impero di Persia	Ciro (patriarca di Costantinopoli)
editoriale	notizia	bn:00020825n	bn:00057546n	editoriale,articolo di fondo,rubrica,fondo	notizia,notizie,cronaca,novità,annuncio
decorazione	busta	bn:00025765n	bn:03384143n	ornamento,abbellimento,adornamento,decorazione,decoro	busta
squalo balena	aragosta	bn:00067621n	bn:00051731n	squalo balena,Rhincodon typus,Rhincodontidae	aragosta,astice,Homarus,Nephropidae,Omaro
mais	granturco	bn:00022678n	bn:00022678n	mais,granoturco,granturco,Zea mays,formentone	mais,granoturco,granturco,Zea mays,formentone
disturbo bipolare	problema	bn:00010593n	bn:00027787n	psicosi maniaco-depressiva,Disturbo bipolare,Depressione bipolare,Disordine bipolare,Disturbo bipolare dell'umore	problema,afflizione,difficoltà,pericolo
