Parola_1	Parola_2	BS1	BS2	Terms_BS1	Terms_BS2
crittogramma	simbolo	bn:00024193n	bn:00075652n	crittogramma	simbolo,segno,Simboli,Simbologia
campus	università	bn:00015097n	bn:00069619n	campus,Campus universitario,Cittadella universitaria	scuola,accademia,istituto,università,Scuole
libertà	libertà	bn:00050955n	bn:00050954n	libertà	libertà,autodeterminazione,indipendenza,sovranità
tifone	ciclone	bn:00045282n	bn:00024744n	uragano,Ciclone tropicale,ciclone,tifone,tornado	ciclone
manuale	guida turistica	bn:00030689n	bn:00042106n	vademecum,manuale,enchiridio,guida,metodo	guida,guida turistica,turistica
Ebola	virus Ebola	bn:00029565n	bn:00029566n	Malattia da virus Ebola,Ebola,febbre emorragica Ebola,Zaire ebolavirus	Virus Ebola,Ebola (virus),Ebola virus
principessa	biscotto	bn:11358231n	bn:00010696n	principessa	Biscuit (pane),biscotto
treno	tram	bn:00066028n	bn:00074613n	treno,convoglio,treno passeggeri,Treni,Treni locali	tram,Tranvia,rete tramviaria,rete tranviaria,tramvai
ecosistema	economia	 bn:00029687n	bn:00029678n	ecosistema,Ecosistemi,biogeocenosi,biosistema,Equilibrio ecologico	economia ,sistema economico,Economia e commercio,Economico,Sistemi economici
regina regnante	regina degli scacchi	bn:00034025n	bn:17765539n	regina,Regina regnante	La regina degli scacchi (film),Regina degli scacchi
oro	zinco	bn:00006911n	bn:00006861n	oro,Au,Estrazione dell'oro,Giacimenti auriferi,Giacimento aurifero	zinco,Zn,Vitamina Z 
cursore	patatine fritte	bn:00024529n	bn:00018527n	cursore,puntatore,Puntatore del mouse,indicatore di misura	patate fritte,Patatine fritte,Chips (gruppo musicale),patatine
Rio delle Amazzoni	foresta	bn:00003245n	bn:00035868n	Rio delle Amazzoni,Amazzoni,Solimoes,Solimões	foresta,bosco,Driver (golf),selva,bosco misto
